Job Id,Job Title,Job Description,skills,experience,min_salary,max_salary,location,deadline
2063768239629741,electrical designer,electrical engineers design and develop electrical systems and devices they work on projects such as power generation electronics and control systems for various industries,electrical engineering circuit design electronics autocad proficiency problemsolving,3.0,69000.0,0.5555555555555556,Mohakhali,2025-02-07
1889088294438825,electrical designer,lighting designers create lighting plans for architectural and artistic purposes they enhance spaces with lighting effects aesthetics and energyefficient lighting solutions,lighting design architectural lighting lighting software proficiency creative lighting concepts technical knowledge,7.0,80000.0,0.2222222222222222,Agargaon,2025-02-07
981851940397954,data analyst,business intelligence analysts gather and analyze data to provide valuable insights to support decisionmaking within an organization they create reports dashboards and data visualizations to help stakeholders understand trends patterns and opportunities in the data,data analysis and visualization tools eg tableau power bi sql and database querying business intelligence concepts data modeling and reporting strong analytical and problemsolving skills datadriven decisionmaking,5.0,110000.0,0.888888888888889,Khilgaon,2025-02-01
3023207081599021,technical writer,content writers create written content for various platforms they produce articles blog posts and web content to inform educate or entertain audiences,writing skills content creation seo knowledge research skills grammar and proofreading,4.0,70000.0,0.0,Panthapath,2025-02-28
487916817418719,uxui designer,user interface designers focus on the visual and interactive aspects of digital interfaces they design layouts buttons and other elements to ensure a cohesive and visually appealing user interface,ui design principles and best practices graphic design tools eg adobe photoshop illustrator typography and color theory visual design and layout responsive design,5.0,80000.0,0.4444444444444445,Bashundhara,2025-02-18
1703785128114382,tax consultant,a personal tax consultant provides tax planning and preparation services to individuals they help clients optimize their tax situations while ensuring compliance with tax laws,tax law knowledge individual tax planning tax return preparation tax deductions and credits tax compliance irs regulations client relationship management communication skills attention to detail tax software proficiency,6.0,60000.0,0.7777777777777778,Tangail,2025-02-14
2812077440184777,software tester,an automation tester uses automated testing tools to verify the functionality and performance of software applications they create and execute automated test scripts,test automation tools eg selenium appium scripting languages eg python java test framework development continuous integration tools test data management,8.0,79000.0,0.888888888888889,Mohakhali,2025-02-06
1462699667162772,account executive,a sales account executive is responsible for acquiring and managing business accounts they identify sales opportunities negotiate contracts and meet revenue targets,sales strategies and tactics account management relationship building sales forecasting industry and product knowledge,11.0,91000.0,0.6666666666666667,Banani,2025-02-21
2149248180059910,systems administrator,it support specialists provide technical assistance to endusers troubleshooting hardware and software problems setting up equipment and maintaining it infrastructure,technical troubleshooting hardware and software support customer service problemsolving communication,10.0,85000.0,0.5555555555555556,Agargaon,2025-02-27
1191707058920608,account director,account strategists work in advertising or marketing agencies managing client accounts they develop strategies to meet client goals oversee campaign execution and maintain client satisfaction by providing expert guidance and solutions,account management client relations marketing strategies campaign optimization data analysis communication skills,4.0,88000.0,0.2222222222222222,Bashundhara,2025-02-13
1887042790868742,digital marketing specialist,social media managers oversee an organizations social media presence they create and schedule content engage with followers and analyze social media metrics to drive brand awareness and engagement,social media platforms eg facebook twitter instagram content creation and scheduling social media analytics and insights community engagement paid social advertising,9.0,70000.0,0.5555555555555556,Gazipur,2025-02-03
385983883133993,database administrator,a database developer designs develops and maintains databases they create efficient data structures write queries and ensure data security and integrity,database design and development sql and database querying data modeling programming languages eg java python data security and privacy regulations knowledge,7.0,77000.0,0.6666666666666667,Gazipur,2025-02-10
1624471339210844,research analyst,a social science researcher conducts research in fields such as sociology psychology or anthropology to study human behavior and social phenomena contributing to academic knowledge,social science research methods qualitative and quantitative data analysis survey design and implementation ethnographic research interviewing skills research ethics statistical software eg stata nvivo report writing communication skills critical thinking empathy,6.0,80000.0,1.0,Mirpur,2025-02-19
1373513885523551,data entry clerk,a record keeper is responsible for maintaining accurate records and databases ensuring data integrity and assisting in data retrieval when needed,records management data entry and retrieval attention to detail,4.0,99000.0,0.6666666666666667,Dhanmondi,2025-02-15
2828247805840851,registered nurse,a staff nurse provides patient care administers medications and collaborates with healthcare teams to ensure the wellbeing of patients in clinical settings,nursing care patient assessment medical knowledge,5.0,90000.0,0.4444444444444445,Mohakhali,2025-02-02
2283172037354283,tax consultant,an international tax consultant focuses on tax matters related to international business operations ensuring compliance with global tax laws and optimizing tax structures,international tax law knowledge transfer pricing crossborder tax planning tax treaties and agreements foreign tax credits international tax compliance transfer pricing documentation multinational tax strategies client relationship management communication skills tax software proficiency,4.0,60000.0,1.0,Gazipur,2025-02-17
1623435902000493,investment analyst,a risk analyst assesses and manages financial risks within an organization they use data analysis and modeling to evaluate potential risks and recommend mitigation strategies,risk assessment data analysis financial modeling risk management tools regulatory compliance knowledge,5.0,77000.0,0.7777777777777778,Mirpur,2025-02-07
